pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.31	19003	7057832	371.41
9.60	7.02	19570	7308242	373.44
9.30	6.74	20178	7573594	375.34
9.00	6.45	20772	7852018	378.01
8.70	6.17	21447	8151930	380.10
8.40	5.88	22234	8487852	381.75
8.10	5.60	22980	8817800	383.72
7.80	5.32	23745	9170667	386.21
7.50	5.03	24616	9563895	388.52
7.20	4.75	25556	9986720	390.78
6.90	4.47	26531	10429766	393.12
6.60	4.19	27542	10901901	395.83
6.30	3.91	28892	11477694	397.26
6.00	3.63	30118	12057106	400.33
5.70	3.35	31358	12666428	403.93
5.40	3.07	33179	13450786	405.40
5.10	2.80	34800	14216207	408.51
4.80	2.52	36504	15046545	412.19
4.50	2.24	38129	15901678	417.05
4.20	1.98	41476	17289080	416.85
3.90	1.71	43819	18479076	421.71
3.60	1.43	46066	19719858	428.08
3.30	1.21	53005	22376496	422.16
3.00	0.94	56720	24322817	428.82
2.70	0.67	60015	26285717	437.99
2.40	0.55	86228	34834958	403.99
2.10	0.29	93439	38654736	413.69
1.80	0.13	222321	78059432	351.11
1.50	0.08	249386	90123854	361.38
1.20	0.00	814669	302220196	370.97
0.90	0.00	915361	356176786	389.11
0.60	0.00	1906048	1199565709	629.35
0.30	0.00	1964725	1330735151	677.31
