pscore	qscore	npeaks	lpeaks	avelpeak
9.90	6.09	472	222960	472.00
9.60	5.83	528	245339	464.00
9.30	5.56	581	267889	461.00
9.00	5.31	656	298303	454.00
8.70	5.05	756	339328	448.00
8.40	4.79	835	369541	442.00
8.10	4.55	962	421002	437.00
7.80	4.29	1067	464789	435.00
7.50	4.04	1210	521859	431.00
7.20	3.81	1407	601662	427.00
6.90	3.56	1611	686514	426.00
6.60	3.31	1872	792773	423.00
6.30	3.10	2268	952569	420.00
6.00	2.86	2595	1093806	421.00
5.70	2.62	3013	1272440	422.00
5.40	2.43	3713	1561408	420.00
5.10	2.20	4371	1848347	422.00
4.80	1.97	5165	2207747	427.00
4.50	1.82	6908	2922801	423.00
4.20	1.60	8454	3580147	423.00
3.90	1.44	12241	5116903	418.00
3.60	1.27	15488	6505479	420.00
3.30	1.06	19497	8253531	423.00
3.00	0.98	33263	13934490	418.00
2.70	0.78	43540	18498943	424.00
2.40	0.72	80854	34586014	427.00
2.10	0.53	109321	48158373	440.00
1.80	0.46	213851	98252064	459.00
1.50	0.29	280435	135876280	484.00
1.20	0.25	528525	284718917	538.00
0.90	0.10	877739	561893956	640.00
0.60	0.01	998294	750128573	751.00
0.30	0.00	1163087	1356374356	1166.00
