pscore	qscore	npeaks	lpeaks	avelpeak
9.90	7.08	7738	3205337	414.23
9.60	6.80	8086	3366605	416.35
9.30	6.52	8437	3531290	418.55
9.00	6.24	8902	3740823	420.22
8.70	5.96	9313	3941094	423.18
8.40	5.68	9740	4150078	426.09
8.10	5.41	10357	4426244	427.37
7.80	5.13	10859	4668353	429.91
7.50	4.85	11429	4942400	432.44
7.20	4.59	12214	5294976	433.52
6.90	4.31	12891	5623181	436.21
6.60	4.03	13550	5968132	440.45
6.30	3.77	14670	6475434	441.41
6.00	3.50	15556	6926586	445.27
5.70	3.23	16520	7413408	448.75
5.40	2.98	18272	8211782	449.42
5.10	2.71	19541	8868994	453.87
4.80	2.44	20867	9576175	458.91
4.50	2.21	23751	10876503	457.94
4.20	1.96	25819	11935421	462.27
3.90	1.70	27917	13066481	468.05
3.60	1.51	34477	15890809	460.91
3.30	1.27	38555	17908111	464.48
3.00	1.10	53513	24084526	450.07
2.70	0.90	63577	28681885	451.14
2.40	0.67	104853	45628528	435.17
2.10	0.60	133893	58907317	439.96
1.80	0.37	164108	73757580	449.45
1.50	0.35	330026	152934534	463.40
1.20	0.14	618693	316385455	511.38
0.90	0.12	763593	430596913	563.91
0.60	0.00	1191627	888680914	745.77
0.30	0.00	1196831	1629696023	1361.68
